año,provincia,n_incendios,fuente
2013,Entre Ríos,112,series_estadisticas_2009-2016
2013,Formosa,326,series_estadisticas_2009-2016
2013,Jujuy,246,series_estadisticas_2009-2016
2013,La Pampa,87,series_estadisticas_2009-2016
2013,La Rioja,248,series_estadisticas_2009-2016
2013,Mendoza,185,series_estadisticas_2009-2016
2013,Misiones,98,series_estadisticas_2009-2016
2013,Neuquén,141,series_estadisticas_2009-2016
2013,Parques Nacionales,21,series_estadisticas_2009-2016
2013,Río Negro,1036,series_estadisticas_2009-2016
2013,Salta,870,series_estadisticas_2009-2016
2013,San Juan,187,series_estadisticas_2009-2016
2013,San Luis,36,series_estadisticas_2009-2016
2013,Santa Cruz,8,series_estadisticas_2009-2016
2013,Santa Fe,1625,series_estadisticas_2009-2016
2013,Santiago del Estero,45,series_estadisticas_2009-2016
2013,Tierra del Fuego,16,series_estadisticas_2009-2016
2013,Tucumán,4,series_estadisticas_2009-2016
2014,Buenos Aires,2788,series_estadisticas_2009-2016
2014,Catamarca,69,series_estadisticas_2009-2016
2014,Chaco,445,series_estadisticas_2009-2016
2014,Chubut,76,series_estadisticas_2009-2016
2014,Ciudad Autónoma de Buenos Aires,2,series_estadisticas_2009-2016
2014,Corrientes,64,series_estadisticas_2009-2016
2014,Córdoba,291,series_estadisticas_2009-2016
2014,Entre Ríos,24,series_estadisticas_2009-2016
2014,Formosa,63,series_estadisticas_2009-2016
2014,Jujuy,158,series_estadisticas_2009-2016
2014,La Pampa,50,series_estadisticas_2009-2016
2014,La Rioja,167,series_estadisticas_2009-2016
2014,Mendoza,159,series_estadisticas_2009-2016
2014,Misiones,102,series_estadisticas_2009-2016
2014,Neuquén,90,series_estadisticas_2009-2016
2014,Parques Nacionales,17,series_estadisticas_2009-2016
2014,Río Negro,904,series_estadisticas_2009-2016
2014,Salta,236,series_estadisticas_2009-2016
2014,San Juan,263,series_estadisticas_2009-2016
2014,San Luis,41,series_estadisticas_2009-2016
2014,Santa Cruz,3,series_estadisticas_2009-2016
2014,Santa Fe,856,series_estadisticas_2009-2016
2014,Santiago del Estero,85,series_estadisticas_2009-2016
2014,Tierra del Fuego,12,series_estadisticas_2009-2016
2014,Tucumán,3,series_estadisticas_2009-2016
2015,Buenos Aires,1794,series_estadisticas_2009-2016
2015,Catamarca,186,series_estadisticas_2009-2016
2015,Chaco,222,series_estadisticas_2009-2016
2015,Chubut,82,series_estadisticas_2009-2016
2015,Ciudad Autónoma de Buenos Aires,3,series_estadisticas_2009-2016
2015,Corrientes,22,series_estadisticas_2009-2016
2015,Córdoba,3,series_estadisticas_2009-2016
2015,Entre Ríos,42,series_estadisticas_2009-2016
2015,Formosa,68,series_estadisticas_2009-2016
2015,Jujuy,173,series_estadisticas_2009-2016
2015,La Pampa,72,series_estadisticas_2009-2016
2015,La Rioja,222,series_estadisticas_2009-2016
2015,Mendoza,164,series_estadisticas_2009-2016
2015,Misiones,19,series_estadisticas_2009-2016
2015,Neuquén,49,series_estadisticas_2009-2016
2015,Parques Nacionales,31,series_estadisticas_2009-2016
2015,Río Negro,1063,series_estadisticas_2009-2016
2015,Salta,338,series_estadisticas_2009-2016
2015,San Juan,240,series_estadisticas_2009-2016
2015,San Luis,74,series_estadisticas_2009-2016
2015,Santa Cruz,55,series_estadisticas_2009-2016
2015,Santa Fe,1047,series_estadisticas_2009-2016
2015,Santiago del Estero,65,series_estadisticas_2009-2016
2015,Tierra del Fuego,20,series_estadisticas_2009-2016
2015,Tucumán,22,series_estadisticas_2009-2016
2016,Buenos Aires,2802,series_estadisticas_2009-2016
2016,Catamarca,197,series_estadisticas_2009-2016
2016,Chaco,253,series_estadisticas_2009-2016
2016,Chubut,89,series_estadisticas_2009-2016
2016,Ciudad Autónoma de Buenos Aires,5,series_estadisticas_2009-2016
2016,Corrientes,12,series_estadisticas_2009-2016
2016,Córdoba,283,series_estadisticas_2009-2016
